,Post ID,Comments
24,CyEfFWRPp-Y,Woohoo 🎉
25,CyEfFWRPp-Y,"@disneyplus Give Julie and the Phantoms a chance, you won't regret it"
26,CyEfFWRPp-Y,@disneyplus Save Julie and the Phantoms
27,CyEfFWRPp-Y,❤️❤️❤️
28,CyEfFWRPp-Y,😽
29,CyEfFWRPp-Y,اذا غاب القط اللعب يا فأر
30,CyEfFWRPp-Y,Plesse can celebrate disney 100 years all episodes the Aladdin series come disney plus usa Sweden. You Disney make us Aladdin series fans so happy. If finally this year enjoy all the episodes your wonderful beloved funny the Aladdin series so much usa Sweden.
31,CyEfFWRPp-Y,🩷🩷🩷🩷🩷
32,CyEfFWRPp-Y,La casa de los villanos no?
33,CyEfFWRPp-Y,I love Mickey Mouse
34,CyEfFWRPp-Y,@dr_uze4
35,CyEfFWRPp-Y,@dr_uze4
36,CyEfFWRPp-Y,❤️❤️❤️❤️
37,CyEfFWRPp-Y,Great
38,CyEfFWRPp-Y,Incredibles came in the quality was good 🔥🙌👏 thanks guys
39,CyEfFWRPp-Y,Scrap Pauline.
40,CyEfFWRPp-Y,.STEAMbloatwillheavE.
41,CyEfFWRPp-Y,So amazing
42,CyEfFWRPp-Y,Oh what a knight pleeeeeeeease
43,CyEfFWRPp-Y,Chips Ahoy at last!! ^^
44,CyEfFWRPp-Y,Co━━━━ö😮ö━━━━l
45,CyEfFWRPp-Y,Nice❤️
46,CyEfFWRPp-Y,❤❤🤗
47,CyEfFWRPp-Y,We need the House of Mouse and Buzz Lightyear of star command
48,CyEfFWRPp-Y,I'm waiting for Runaway Brain and Orphan Blues to be put on D+
49,CyEfFWRPp-Y,I love Mickey Mouse and Donald Duck😍💜
50,CyEKIYtxEGl,I never understood why people like this movie so much 😐
51,CyEKIYtxEGl,Hbd to all us October 1993 babies!!!!
52,CyEKIYtxEGl,Way to go on that sequel.
53,CyEKIYtxEGl,Love them all 👏and would love to see “bedknobs & broomsticks” available as well 😍
54,CyEKIYtxEGl,Oh my God I’m old 🥹
55,CyEKIYtxEGl,Overrated
56,CyEKIYtxEGl,🧙‍♀️
57,CyEKIYtxEGl,30th anniversary??? I didn't even know. Happy birthday to such an amazing movie
58,CyEKIYtxEGl,I love this movie so much Hocus Pocus is the best
59,CyEKIYtxEGl,❤️
60,CyEKIYtxEGl,🕯️
61,CyEKIYtxEGl,Happy Anniversary  House Pocus 50th  Love my favorite Disney movie DVD 📀 Dolls 💖💖💖💖💖💖🎂🥳🎉🎊🎶
62,CyEKIYtxEGl,You know what? I think I will.
63,CyEKIYtxEGl,Saw it this week on disneyplus and gonna go out to watch it in theaters tonight! 😊💜🖤
64,CyEKIYtxEGl,😍
65,CyEKIYtxEGl,This is STUNNING 😍
66,CyEKIYtxEGl,Hocus pocus forever 😍😍
67,CyEKIYtxEGl,30 Glorious Years! 🎃🧡
68,CyEKIYtxEGl,Forever my childhood Halloween movie
69,CyEKIYtxEGl,@theflashfan03
70,CyEKIYtxEGl,@anasfmorais
71,CyEKIYtxEGl,@gretaebarby ❤️❤️❤️
72,CyEKIYtxEGl,#bettemidler #sarahjessicaparker #kathynajimy (dig em up again)
73,CyEKIYtxEGl,🙌🏻🙌🏻🙌🏻
74,CyEKIYtxEGl,wanna play some games with me?😋
75,CyEKIYtxEGl,"Yeah, way to go on that sequel Disney 😌👏🚮🗑️"
76,CyEKIYtxEGl,See you there! 💜
77,CyEKIYtxEGl,❤️❤️❤️
78,CyEKIYtxEGl,😍😍😍😍😍😍
79,CyEKIYtxEGl,Dumbest marketing I have ever heard of in my entire life. Let's drop a halloween movie in july
80,CyEKIYtxEGl,🙌
81,CyEKIYtxEGl,😍😍😍
82,CyEKIYtxEGl,💜💜💜
83,CyEKIYtxEGl,Im watching today
84,CyEKIYtxEGl,❤️❤️❤️
85,CyEKIYtxEGl,✨💜🧹🍂🕯️
86,CyEKIYtxEGl,❤️❤️❤️
87,CyEKIYtxEGl,I love Hocus Pocus!!
88,CyEKIYtxEGl,It’s coming to theaters
89,CyEKIYtxEGl,😍😍😍😍
90,CyEKIYtxEGl,@themainstreetmouse @houseofmouseexpo 🐭✨🎶
91,CyEKIYtxEGl,💚🖤J🦁K🖤💚 👈🏻DISNEY+👉🏻 💐💐💐💐💐💐 JK-JEBI&KAVYA
92,CyEKIYtxEGl,📱
93,CyEKIYtxEGl,@lorawyn
94,CyEKIYtxEGl,😍😍OG was the best!!!
95,CyEKIYtxEGl,😍
96,CyEKIYtxEGl,👏❤️
97,CyEKIYtxEGl,Long Live to The Sanderson Sisters!!🎃✨
98,CyEKIYtxEGl,"Hocus Pocus, i love it 💕🔮🕸🕷"
99,CyEKIYtxEGl,This is one of my favorite movies ever made
100,Cx-6CDzLux7,How is it compared to Eddie Murphy haunted mansion
101,Cx-6CDzLux7,"I saw it in theaters!! Started rewatching it when i had a free period in school
Haunted mansion is one of my favorite rides in WDW and I loved all the references to the ride"
102,Cx-6CDzLux7,Can we get tower of terror on Disneyplus please!!
103,Cx-6CDzLux7,"Movie ruled 🔥, more people need to give it a chance"
104,Cx-6CDzLux7,It honestly gets better in the second half… Personally think the 2003 version was better…
105,Cx-6CDzLux7,Watched it tonight. We had a great time. Very entertaining. 😎
106,Cx-6CDzLux7,Im glad I got to see it in theater. This movie was a lot of fun to watch
107,Cx-6CDzLux7,Oh this movie was actually fun.
108,Cx-6CDzLux7,Didn’t like cgi at all. The original film was better
109,Cx-6CDzLux7,"Excellent film and story, but my only question is why some of the CGI looked cheap liked the hatbox ghost compared to the 2003 version? Like Madam Leota look more realistic in the original to me."
110,Cx-6CDzLux7,Owen Wilson was great in this
111,Cx-6CDzLux7,I just want it and chapter 2
112,Cx-6CDzLux7,"When I saw this is the cinema with my mother, we both enjoyed it and she immediately asked when she can watch it again, after we left the cinema! 😅 she’s waited all this time to see it again and we’re very happy it’s now on Disney+!"
113,Cx-6CDzLux7,Great movie
114,Cx-6CDzLux7,just in time for spooky season 😏
115,Cx-6CDzLux7,I am watching the movie right now
116,Cx-6CDzLux7,Definitely added to the watch list 🔥
117,Cx-6CDzLux7,So excited 👻 🍁 🎃
118,Cx-6CDzLux7,11/10!
119,Cx-6CDzLux7,Why is the lighting so dark 😭
120,Cx-6CDzLux7,Yes! Will be watching.
121,Cx-6CDzLux7,Is this good I'm thinking about checking it out for myself
122,Cx-6CDzLux7,Let’s Go💪🏾
123,Cx-6CDzLux7,Cuál quieres PG o PG-13
124,Cx-6CDzLux7,Cuál quieres PG o PG-13
125,Cx-6CDzLux7,The original is better
126,Cx-6CDzLux7,When are getting Serbian or Croation subtitles?
127,Cx-6CDzLux7,❤️
128,Cx-6CDzLux7,❤️
129,Cx-6CDzLux7,this movie was so good!! 😍
130,Cx-6CDzLux7,🎃🍁🕸️🍂🍂👻💚🎃🎃
131,Cx-6CDzLux7,Very bad movie
132,Cx-6CDzLux7,No thanks
133,Cx-6CDzLux7,"Please don't cast Rachel Zegler as Snow White, cast Lucy Hale, she looks like Snow White"
134,Cx-6CDzLux7,@mikd00d
135,Cx-6CDzLux7,@corielaw
136,Cx-6CDzLux7,"@disneyplus Save Julie and the Phantoms,  PLEASE"
137,Cx-6CDzLux7,✌️✌️✌️✌️✌️
138,Cx-6CDzLux7,@mhornnn
139,Cx-6CDzLux7,@littlemissmegan
140,Cx-6CDzLux7,Owen!
141,Cx-6CDzLux7,🔥🔥🔥
142,Cx-6CDzLux7,YESSSSSS
143,Cx-6CDzLux7,Yesssss
144,Cx-6CDzLux7,The internet has ruined so many lives I’m estranged from my entire family because people watch everything I post
145,Cx-6CDzLux7,Yay! 😀😀👻👻
146,Cx-6CDzLux7,‘I just saved myself 150 bucks’ 😅
147,Cx-6CDzLux7,Is the house of villains on the app yet??? I’m dying to show my kids
148,Cx-6CDzLux7,YES❤️
149,Cx-6CDzLux7,"@disneyplus Give Julie and the Phantoms a chance, they are wonderful"
150,Cx525L9xJbw,I hate u for doing this weekly.
151,Cx525L9xJbw,Please be good. Please be good. Please be good
152,Cx525L9xJbw,"She-Hulk received 9 episodes, and Secret Invasion got budget over $200 million, while Loki Season 2 had only 6 episodes and got budget of $141 million. Well played Disney"
153,Cx525L9xJbw,only 6 episodes?🥲
154,Cx525L9xJbw,"We used to have 20 ep per season, then 15-12 ep per season, now we got 6 ep per season, and seasons are released every two years 🤡 soon we’ll get 1 ep per season"
155,Cx525L9xJbw,if they fumble this one ill never see anything from mcu
156,Cx525L9xJbw,and then the marvels hits theaters on nov 10th :’)
157,Cx525L9xJbw,U kidding me ? Bruh
158,Cx525L9xJbw,Wish there was more than six episodes…
159,Cx525L9xJbw,I'm just gonna watch directly on 9th Nov. Don't wanna die bc of anxiety.
160,Cx525L9xJbw,Will watch all episodes on NOV 9
161,Cx525L9xJbw,"More genAI stuff. Seriously, can't you guys hire visual artists anymore?"
162,Cx525L9xJbw,"Just release all the episodes at once, for goodness sake! This is literally the equivalent of cable and it stinks."
163,Cx525L9xJbw,"Love Loki, Hate Disney."
164,Cx525L9xJbw,For Indians it's still releasing on 6th 🥲✌️
165,Cx525L9xJbw,Back-to-back MCU content with the Loki S2 finale and The Marvels premiere 🍿
166,Cx525L9xJbw,One of a most awaited series in 2023
167,Cx525L9xJbw,YEAAAAAHH🥹🥹
168,Cx525L9xJbw,NOOOOOO😭😭😭😭😭😭😭 SEMANAL@NOOOO
169,Cx525L9xJbw,6 Episodes BFFR rn 😐
170,Cx525L9xJbw,Ok so imma start watching it on 9tb oct😂
171,Cx525L9xJbw,Just checked on my calendar and there is no October 261
172,Cx525L9xJbw,Can you please release all episodes in one time 🗿
173,Cx525L9xJbw,It ends right on my birthday 🔥🔥
174,Cx525L9xJbw,So I got time to finish season 1
175,Cx525L9xJbw,It was about time !
176,Cx525L9xJbw,Can't waitttttttt 😍😍😍❤️💚
177,Cx525L9xJbw,🔥🔥🔥🔥🔥🔥
178,Cx525L9xJbw,@soly_aguilar hasta que regrese
179,Cx525L9xJbw,@edgarvillegas574
180,Cx525L9xJbw,lusa anjay @1449pom
181,Cx525L9xJbw,@manueliceiry
182,Cx525L9xJbw,@hiba_haris2806 remember 2021?
183,Cx525L9xJbw,@raulsarmientoo yeyyyyy
184,Cx525L9xJbw,@niranjan_uppara are you existed
185,Cx525L9xJbw,@cesararevalos.n
186,Cx525L9xJbw,@nettyyl 2 dayssssss
187,Cx525L9xJbw,@anto.sarmiento  march
188,Cx525L9xJbw,@mayuunette
189,Cx525L9xJbw,@jossemolina330 mira amor
190,Cx525L9xJbw,@bhekid86 😬😬😬😬😬
191,Cx525L9xJbw,@pampampad
192,Cx525L9xJbw,@dayamv2 la empezamos?
193,Cx525L9xJbw,@annabel.secnd
194,Cx525L9xJbw,@_sdishuu @_.tushar_ll_suman._
195,Cx525L9xJbw,@maximetassel
196,Cx525L9xJbw,@rossyborzacchelli @giusy_bacio @solo.michela
197,Cx525L9xJbw,@theweekndgooner
198,Cx525L9xJbw,@g7ncarz
199,Cx525L9xJbw,@jacksokell
200,Cx3EXD_hxmw,Not mentioning Bob’s Burgers even tho they have a bunch of great Halloween episodes feels like a crime!
201,Cx3EXD_hxmw,I thought i was the only one who missed the house of villains 🥺
202,Cx3EXD_hxmw,Miss when you played The Little Vampire and Casper Meets Wendy
203,Cx3EXD_hxmw,Werewolf by Night in colour … why? It was meant to be black and white!
204,Cx3EXD_hxmw,Disney we need more new content than this for the prices we are now paying!
205,Cx3EXD_hxmw,Where is House of Villains and the original Under Wraps?! That’s all we want….
206,Cx3EXD_hxmw,Original Underwraps please !!!!!!!!
207,Cx3EXD_hxmw,house of villains?????
208,Cx3EXD_hxmw,"The House of Mouse and The House of Villains, is still not on the list. Full episodes please!!!"
209,Cx3EXD_hxmw,I need House of Mouse😢
210,Cx3EXD_hxmw,❤️
211,Cx3EXD_hxmw,You need the original Under wraps!!
212,Cx3EXD_hxmw,"PLEASE RELEASE HOUSE OF MOUSE. This is like the 5th year of the people asking, what is the problem! X"
213,Cx3EXD_hxmw,Where house of mouse house of villains
214,Cx3EXD_hxmw,Wish mickey house of villains was on this :(
215,Cx3EXD_hxmw,Can’t wait to see werewolf by night in color!
216,Cx3EXD_hxmw,WE WANT MICKEYS HOUSE OF VILLAINS
217,Cx3EXD_hxmw,Where is House Of Mouse 😭
218,Cx3EXD_hxmw,The fact that y'all get away with forgetting the House of Villains every year... end this madness 😂
219,Cx3EXD_hxmw,@anne.bruun.2001 😍
220,Cx3EXD_hxmw,@kgrahamslam THIS
221,Cx3EXD_hxmw,@ross_rockwelll !!
222,Cx3EXD_hxmw,@rrachhel13
223,Cx3EXD_hxmw,WHY WAS FUNDAY FOOTBALL NOT ANNOUNCED?!?!?!
224,Cx3EXD_hxmw,"Kinda lame how last year Marvel put out the amazing Werewolf By Night and couldn't be bothered to do something new, they just gonna put it out again but in colour. Boooooooo indeed"
225,Cx3EXD_hxmw,Where is Shadybug and Clawnoir? Will it be on Disney plus?
226,Cx3EXD_hxmw,Since when in europe ? 😍
227,Cx3EXD_hxmw,Halloweentown 🪄📚🥰🧹💜
228,Cx3EXD_hxmw,😀😀🎃🎃👻👻
229,Cx3EXD_hxmw,Why can’t I watch the Toy Story nfl game in Canada. 🤬
230,Cx3EXD_hxmw,Including doctor strange multiverse of madness!!!
231,Cx3EXD_hxmw,🔥👏
232,Cx3EXD_hxmw,@linzy185 x
233,Cx3EXD_hxmw,Mandoween?
234,Cx3EXD_hxmw,I want the original under wraps movie please!
235,Cx3EXD_hxmw,Loki
236,Cx3EXD_hxmw,Add all of the avengers movies too and that’s my October 😂
237,Cx3EXD_hxmw,i will be watching hsmtmts s4 ep4 a dangerous amount of times this month currently watching what do you know about love lol from s3 ep5
238,Cx3EXD_hxmw,Noticed you guys didn’t post at all for the Toy Story nfl game.  What’s the tea? Does that mean you’re dropping ESPN soon? So bizarre to be quiet about it …. @espnnfl
239,Cx3EXD_hxmw,The tower of terror movie I know that was made by Disney 🥺
240,Cx3EXD_hxmw,Wheres Dont look under the bed? That was scary af
241,Cx3EXD_hxmw,So excited!!😍
242,Cx3EXD_hxmw,"Hahaha, you tried to win back the fans, Disney. Well, too bad your never gonna win once I ruin you to pieces."
243,Cx3EXD_hxmw,S4E4 of HSMTMTS and Muppets Haunted Mansion 😍😍😍😍😍😍😍
244,Cx3EXD_hxmw,@_deviledmegs_
245,Cx3EXD_hxmw,House of Mouse when???
246,Cx3EXD_hxmw,But I want to watch home alone 😢
247,Cx3EXD_hxmw,Lizzie McGuire and That's So Raven Halloween episodes are the best! 🙌
248,Cx3EXD_hxmw,Phantom of the Megaplex! Lol
249,Cx3EXD_hxmw,We get the colored version and black and white of werewolf at night cool
250,Cx2NbUYsW4T,Any answer other than Hocus Pocus is incorrect…
251,Cx2NbUYsW4T,"Buy the rights to Julie and the Phantoms and make a sequel, please"
252,Cx2NbUYsW4T,Happy October!! What an incredibly beautiful time of the year!! Yay!! You rock!! May your day be full of Fall joy and all of the good things!! May you have the best Fall into new beginning’s!! 🎃🍿🎊🍁
253,Cx2NbUYsW4T,"My lineup is Coco, Monsters University and Hocus Pocus 2. I started watching these a month ago. Lol."
254,Cx2NbUYsW4T,Would love to have the Winnie the Pooh Halloween special from 1996 added to Disney+!
255,Cx2NbUYsW4T,Halloween town and Twitches ❤️
256,Cx2NbUYsW4T,We want House of Villains.
257,Cx2NbUYsW4T,Hocus Pocus 🧹✨💜
258,Cx2NbUYsW4T,WE HEREEEEEEE !!!! 🎃👻🥙
259,Cx2NbUYsW4T,TUTTEEEEEEEER🩵🩵🩵🎃
260,Cx2NbUYsW4T,Hocus pocus 🧙‍♀️🔮
261,Cx2NbUYsW4T,The theme of autumn has always been Apple. I don’t know when or why the pumpkin decided to take the mantle.
262,Cx2NbUYsW4T,Correct
263,Cx2NbUYsW4T,Is this Tutter from Bear in the Big Blue House? ☺️😍😍
264,Cx2NbUYsW4T,Muppets Haunted Mansion
265,Cx2NbUYsW4T,Hocus Pocus 🎃🎃🍁🍂
266,Cx2NbUYsW4T,Still waiting for this show to come to the Dutch Disneyplus. This was my childhood
267,Cx2NbUYsW4T,Sem  fogo  por favor  meu  trabalho
268,Cx2NbUYsW4T,Tutter
269,Cx2NbUYsW4T,I just watched the Halloween episode of Bear in the Big Blue House first
270,Cx2NbUYsW4T,❤️
271,Cx2NbUYsW4T,Né
272,Cx2NbUYsW4T,👏
273,Cx2NbUYsW4T,Stop raising subscription prices ya yam bags
274,Cx2NbUYsW4T,Can we have House of Mouse please?
275,Cx2NbUYsW4T,@caminguanzo nuestro bestie
276,Cx2NbUYsW4T,@ki0_0n
277,Cx2NbUYsW4T,@ellieinireland 🎃
278,Cx2NbUYsW4T,@leighbrady
279,Cx2NbUYsW4T,@itzagrxms
280,Cx2NbUYsW4T,@daniela._.peh
281,Cx2NbUYsW4T,@stinkyblueratt
282,Cx2NbUYsW4T,🔥🔥🔥🔥🔥🔥🔥
283,Cx2NbUYsW4T,Cruella.⚡️
284,Cx2NbUYsW4T,❤️
285,Cx2NbUYsW4T,Happy Halloween everyone
286,Cx2NbUYsW4T,Wake me up when September ends
287,Cx2NbUYsW4T,Haunted Mansion 2023!!!
288,Cx2NbUYsW4T,@stinkyblueratt
289,Cx2NbUYsW4T,Can We Have Aladdin TV series please?
290,Cx2NbUYsW4T,"The Nightmare Before Christmas followed by James and the Giant Peach, Brother Bear, Haunted Mansion 2003 and 2023."
291,Cx2NbUYsW4T,Haut mal endlich Bleach Staffel 1-10 auf deutsch raus eure Untertitel sind Katastrophal
292,Cx2NbUYsW4T,TUTTER!!!
293,Cx2NbUYsW4T,#🎃
294,Cx2NbUYsW4T,"Ready for the new Haunted Mansion! Also, Id LOVE you to put the OG Under Wraps movie on Disney+🙏🙏🙏🙏"
295,Cx2NbUYsW4T,Halloweentown !!!
296,Cx2NbUYsW4T,Cook
297,Cx2NbUYsW4T,I will be streaming Hocus Pocus first! 💚🧡💜
298,Cx2NbUYsW4T,@stinkyblueratt I thought this was you that posted 💀👀
299,Cx2NbUYsW4T,I’m so
300,CxxtCWGLks-,I this from the Buddies movies?
301,CxxtCWGLks-,Just bring HOUSE OF MOUSE to DISNEY PLUS!
302,CxxtCWGLks-,"Add maleficent 1 and Cinderella 2015, oh and the rest of the few Spider-Man movies that are still missing from Disney"
303,CxxtCWGLks-,Waiting on Model Behavior
304,CxxtCWGLks-,add air buddies too
305,CxxtCWGLks-,GIRL BYE!! Give us Tower or Terror and the Original Underwraps. It’s October we want October content 😩😩😩
306,CxxtCWGLks-,I'm dying for the Aladdin TV series!
307,CxxtCWGLks-,Wish there could have been a air bud hockey movie
308,CxxtCWGLks-,I’m about to see it right now
309,CxxtCWGLks-,Omg I remember watching the 1st one but not all of them
310,CxxtCWGLks-,"Cool, but what about House of Mouse though? 😅"
311,CxxtCWGLks-,Haha bruh! I got them alllll on DVD ☺️
312,CxxtCWGLks-,Been requesting the first one for yeeeeaaaarrrrrssss! 😍😍😍 makes my Buddy loving heart so happy! ❤️🏀
313,CxxtCWGLks-,About time i love these movies
314,CxxtCWGLks-,My favorite childhood movies buddy is the champion of the world
315,CxxtCWGLks-,Buddy shoots! Buddy scores! He's finally arriving on Disney Plus! 🏀⚽🏈⚾🐾🐶
316,CxxtCWGLks-,Poor kids having to go home after getting beat by a golden retriever
317,CxxtCWGLks-,You know what the people want 👏🏼
318,CxxtCWGLks-,YEAAAAAHHH AIRBUD WOOO BAYBEE YEAH YES WOO
319,CxxtCWGLks-,Now LIFE SIZE
320,CxxtCWGLks-,"Finally, I’ve been waiting for this movie to come on Disney+. Thank you. Finally I am so happy.😀"
321,CxxtCWGLks-,"3 words. House of Mouse. 2 more words. PLEASE, PLEASE!!!"
322,CxxtCWGLks-,👏ITS ABOUT FLIPPING TIME👏
323,CxxtCWGLks-,About time they put air bud on Disney plus
324,CxxtCWGLks-,Yay love these movies
325,CxxtCWGLks-,YAYYY! Its Finally happening
326,CxxtCWGLks-,"This movie was, and still is a big part of my life"
327,CxxtCWGLks-,Best movie ever
328,CxxtCWGLks-,Okay whatever give us the remaining Spider-Man films. (Except Morbius)
329,CxxtCWGLks-,Air Bud has finally come to Disney Plus at last!
330,CxxtCWGLks-,My Favorite Dog !!!!! 🔥🔥🔥🔥
331,CxxtCWGLks-,Childhood memories
332,CxxtCWGLks-,❤️❤️❤️❤️
333,CxxtCWGLks-,Heeeeeessssss Back!!!!
334,CxxtCWGLks-,What an athlete
335,CxxtCWGLks-,Finally you listened to me. 🙌
336,CxxtCWGLks-,The real GOAT of the GOATS
337,CxxtCWGLks-,perfect
338,CxxtCWGLks-,FINALLY🥲🥲
339,CxxtCWGLks-,Finally
340,CxxtCWGLks-,finally!!!✨🫶🏻
341,CxxtCWGLks-,Nostalgia 😢
342,CxxtCWGLks-,Yay!!! 👏👏👏👏
343,CxxtCWGLks-,Buddy when are your movies are going too be on @disneyplus ?
344,CxxtCWGLks-,@laurenmogg our childhood
345,CxxtCWGLks-,"He shoots, he scores, he does. @bigguyjonllc"
346,CxxtCWGLks-,@grrrrarrgh waiting for a part 2 to “I watched every buddies movie”
347,CxxtCWGLks-,@kevinmccarthytv @jakestakes @sean_oconnell33 I smell a bet punishment. @gabekovacs
348,CxxtCWGLks-,@spookybuddyy rip all your free time
349,CxxtCWGLks-,@dompagram
350,CxvqtCYRiUs,Woke
351,CxvqtCYRiUs,I guess you’re following suit with Netflix not sharing passwords outside of your household? I’ll be deleting my account if that means my child can no longer use that when they’re at their fathers house. Thanks for being cheap!
352,CxvqtCYRiUs,Cool
353,CxvqtCYRiUs,Awesome
354,CxvqtCYRiUs,lmao
355,CxvqtCYRiUs,Black Belts 🥋🥷
356,CxvqtCYRiUs,Do not release pauline
357,CxvqtCYRiUs,Yall get gain no more money yall have to crackdown passwords? Can’t even share my accounts in peace
358,CxvqtCYRiUs,Bring back Mysterious Benedict Society and More Than Robots and Crater
359,CxvqtCYRiUs,😍😍
360,CxvqtCYRiUs,Yess let’s go!!!
361,CxvqtCYRiUs,Black belt is such a low key racist title 😂😂
362,CxvqtCYRiUs,Excited to watch😍❤️
363,CxvqtCYRiUs,"Loved beautiful, Fl!! 🩷🌴"
364,CxvqtCYRiUs,“Black belts” 💀💀💀💀
365,CxvqtCYRiUs,😍
366,CxvqtCYRiUs,The roof looks goofy 💀
367,CxvqtCYRiUs,Umarım Türkiye'deki lisanslarınız iptal edilir.
368,CxvqtCYRiUs,Im sorry but Florida is a sh*t hole.
369,CxvqtCYRiUs,BRING BACK THE SILVER SURFER CARTOON
370,CxvqtCYRiUs,All of these are going to be exceptionally terrible
371,CxvqtCYRiUs,"Hmm, just give up, give up. You have no chance of winning."
372,CxvqtCYRiUs,👏 @sethbcarr
373,Cxs_Cm4xBiy,What does the L even stand for😭
374,Cxs_Cm4xBiy,OK BUT HEAR ME OUT: GRAVITY FALLS LIVE ACTION SERIES??😍
375,Cxs_Cm4xBiy,this is why kpop fans get bullied
376,Cxs_Cm4xBiy,The only kpop on disney is TXT ... lets keep it that way please 😭
377,Cxs_Cm4xBiy,You guys promised not to block password sharing. Yesterday you announced you’re going to block it. We cancelled our subscription 😂
378,Cxs_Cm4xBiy,Uhm guys...I don't think you know what the L means nowadays...
379,Cxs_Cm4xBiy,"lemme guess how this ends... her asian parents reluctantly approve of her life choices & once they see how talented she is, they admit they've been wrong & give her their unconditional love & support? lol. never in a million asian households will that ever happen. at least not without constant judgement & relentless snide remarks."
380,Cxs_Cm4xBiy,"Disney is wondering why they're losing subscribers, raising prices, and are needing to reevaluate strategies, all while pushing out so much trash content 🤦‍♀️"
381,Cxs_Cm4xBiy,Not another koreaboo after that Netflix mess
382,Cxs_Cm4xBiy,Does anyone know the name of the actor next to the blond girl?
383,Cxs_Cm4xBiy,Bye not another koreaboo show😭streaming services stop making kpop fans look bad challenge
384,Cxs_Cm4xBiy,I love K-pop but this is not it 😭
385,Cxs_Cm4xBiy,Y’all didn’t learn from what Netflix did?
386,Cxs_Cm4xBiy,so yall dont upload the nct 127 show for europe but THIS💀
387,Cxs_Cm4xBiy,Not the koreaboo show
388,Cxs_Cm4xBiy,😍😍😍😍
389,Cxs_Cm4xBiy,"I represent the K-pop fandom, and we have decided to NOT claim whatever this is🤐"
390,Cxs_Cm4xBiy,I hope she chooses dentistry in the end. That could be a meaningful journey and message if done right.
391,Cxs_Cm4xBiy,it’s giving xo kitty 💀
392,Cxs_Cm4xBiy,jajaj uno de los actores estaba criticando en tiktok porque en latino América  escuchamos K-pop si no le entendemos. 😂
393,Cxs_Cm4xBiy,You guys make terrible financial decisions.
394,Cxs_Cm4xBiy,Emphasis on the L
395,Cxs_Cm4xBiy,Ay no
396,Cxs_Cm4xBiy,What koreaboo fanfic is this?
397,Cxs_Cm4xBiy,"I love K-pop. Don’t get me wrong, but I’m not gonna watch this. This looks pretty bad."
398,Cxs_Cm4xBiy,Omg yes let’s freaking go!!! 😍❤️
399,Cxs_Cm4xBiy,come on xo kitty part 2
400,Cxs_Cm4xBiy,So Disney’s XO Kitty
401,Cxs_Cm4xBiy,Oh my god not again🧍
402,Cxs_Cm4xBiy,disney what is this
403,Cxs_Cm4xBiy,This show is so good I promise!!!!!
404,Cxs_Cm4xBiy,why you gotta do kpop so dirty like this is NOT accurate at all
405,Cxs_Cm4xBiy,PLEASE NO. DO NOT.
406,Cxs_Cm4xBiy,im scared
407,Cxs_Cm4xBiy,bro what 😭
408,Cxs_Cm4xBiy,Another show jumping on Koreaboo bandwagon after that Netflix one 🤡
409,Cxs_Cm4xBiy,"People-“Disney never makes new content these days, everything is sequels and remakes”
Makes something original
People-“this is trash even though I haven’t watched it”"
410,Cxs_Cm4xBiy,Disney its not too late to turn back
411,Cxs_Cm4xBiy,"Ay no mames, se quedaron sin ideas"
412,Cxs_Cm4xBiy,Why y'all gotta make everything into cringe
